,Name,Comment,Time,Likes,Reply Count
44,Mari Costa,"Eu oro pra que esse homem tenha um encontro verdadeiro com o Senhor jesus,e que Deus venha restaurar todas as áreas da sua vida, aqui não tô falando de religião mas de um Pai maravilhoso que só espera que seus filho o busque com mais intensidade e profundidade
O que aconteceu Jajá vira passado",2022-03-24T15:34:10Z,0,0
45,Vera Gomes,"Um minuto de silêncio,em plena entrevista.kkk",2022-03-24T15:34:09Z,0,0
46,Wander Santos,"""Ela tem uma voz doce envolvente, uma pele macia e quente""
-Gilvaldo Alves o mendigo pegador",2022-03-24T15:34:07Z,0,0
47,Vanda Maria,"Esse cara só falou de temas importantes, e parece ser uma pessoa instruída, serviço social, politica, clima, guerra. E não se vitimisou",2022-03-24T15:34:03Z,0,0
48,Helena Maria,"Conheci uma moça bonita, famosa cantava muito bem. Fazia muito sucesso e foi dar para um presidiário dentro do presídio. Cada um com suas taras. 😂😂😂",2022-03-24T15:34:03Z,0,0
49,Bru na,Pq o Leo Dias não quia entrevistar ele? Elitismo?,2022-03-24T15:34:02Z,0,0
50,gil almeida AS,olha a diverença das vizualizaçoes em relaçao a os outro videos haah,2022-03-24T15:34:02Z,0,0
51,3 Reis pinturas,Esse é o galo  cego do futuro😂😂😂,2022-03-24T15:34:02Z,0,0
52,Adriana Mendes,"Ele se expressar muito bem,os apresentadores lutando,para não ri.ainda dá conselho amoroso.",2022-03-24T15:34:02Z,0,0
53,Daniel Grégory,RAPAZ ..É OU NÃO É O PRÓXIMO POLÍTICO BRASILEIRO ??? TEM TUUUDO PRA ISSO HAUAHAUAHAUAAHAUHAUS,2022-03-24T15:33:59Z,0,0
54,⊹ ࣪. nicolie.,"gente deveriam aumentar o salário do entrevistador por ter segurado o riso, se fosse eu n teria conseguido naoKKKKKKKKKKKK muito profissionalismo o dele",2022-03-24T15:33:59Z,0,0
55,Gabriel Daniel,Mas o Brasil é realmente um país inacreditável...Todo tipo de demente aparece por aqui... Desde o comedor de casadas até o pulitico FDP e o retardado que com o país indo pra casa do caralho só quer saber de BBB e futebol... É foda bixo...,2022-03-24T15:33:58Z,0,0
56,rafael santos,Qualquer um faria o que o marido da mulher fez.,2022-03-24T15:33:57Z,1,0
57,Ana Claudia,"Porra, o cara fala melhor que a Laís do BBB !",2022-03-24T15:33:56Z,0,0
58,Júnio A. Santos,O cara é um orador usou muitas técnicas de discurso e hipnose conversasional caramba!,2022-03-24T15:33:56Z,0,0
59,Zilneide Ribeiro,"Espero e desejo que esse morador de rua, tão eloquente e sensível, possa ter uma nova chance de uma vida tranquila e feliz.",2022-03-24T15:33:54Z,0,0
60,Silvia Diogo,Gente ele pediu 1 minuto de silêncio pelo mundo . 👏👏,2022-03-24T15:33:41Z,0,0
61,Simone Prudencio,Foi doido vê a mulher no lepo lepo e ainda falar que tava querendo,2022-03-24T15:33:39Z,0,0
62,Super Shorts 5.0,Ele é muito detalhista !,2022-03-24T15:33:38Z,0,0
63,Lidiany Garcia Elesbao,Ele fala q o carro era vermelho e não branco... que ela tava de calça e blusa de lã listrada... mas na filmagem aparece um carro branco e parece q ela tava de vestido.... 🤔,2022-03-24T15:33:37Z,0,0
64,Cardozo Alves,"O Brazil é um país que faliu, faliu moralmente, intelectualmente, economicamente...os caras não tem mesmo o que mostrar,  esse país é uma vergonha. Que lixo eim, vcs se chamam joornalistas para fazer essa entrevista de m! PQP!",2022-03-24T15:33:37Z,0,0
65,Rosimar Silva,So eu que percebi o cara querendo sorrir no minuto de silêncio kkkkk,2022-03-24T15:33:37Z,0,0
66,se encontre empreendendo!,esse cara fala melhor do que o  bolsonaro.,2022-03-24T15:33:35Z,0,0
67,Suzanne Mattos,"Rapaz estou 😮... com esse Senhor... Pontos diferentes nessa história... E no relato dele, nos mínimos detalhes, ai sim entendemos como ocorreu.",2022-03-24T15:33:30Z,1,0
68,Damatta,O cara fala bem demais... É notório que deve ter estudado e foi para as ruas por algumas das coisas da vida.,2022-03-24T15:33:29Z,0,0
69,M.4 🇧🇷,"O satanis** Aliester C. Seduziu várias freiras após dizer que era a encarnação do demo*** leiam Nessaham Alita amigos.
Procurem nas minhas playlists",2022-03-24T15:33:27Z,0,0
70,Tatiane Jesus,Muito bom deixar esse falar sem interrupções desnecessárias!,2022-03-24T15:33:26Z,0,0
71,Ezequiel Martins,Como um cara desses é morador de rua.. ? Porque não trabalha?,2022-03-24T15:33:24Z,0,0
72,Guilherme,"O marido pega esse sujeito em cima da mulher dele, e ele tá errado? Que porra de país é esse? um sujeito desses ainda dando lição de moral, nem se quer pediu desculpas, e ainda tem gente tão lixo quanto defendendo e apoiando. Que porra de país é esse, meu irmão",2022-03-24T15:33:22Z,0,0
73,Júnior Falcão Negro,Que isso? Vai se candidatar a deputado??,2022-03-24T15:33:21Z,0,0
74,san,Sabe muito,2022-03-24T15:33:21Z,0,0
75,PETTERSON DIEGO SILVA RODRIGUES,"Estranho alguns pontos de sua fala, principalmente no aspecto que ele diz que a filmagem não corresponde aos fatos, como se a mídia tivesse feito aquela filmagem, que o carro era vermelho e não branco, ae eu acho que ele deu uma viajada, a blz da moça deixou o confuso.",2022-03-24T15:33:20Z,0,0
76,Milena Sousa,"ela tem uma voz doce e quente 🔥😎
uma pele macia e envolvente 😏😁",2022-03-24T15:33:19Z,0,0
77,Rosa Maria da Silva,O rapaz foi abusado por essa maníaca isso sim,2022-03-24T15:33:16Z,0,0
78,Rito Brito,Só pra lembra a turma do sul cuidado o baiano é lento 🤓🤓🤓🤓,2022-03-24T15:33:16Z,0,0
79,Marcio Moreira,"Ótima retórica! Mas vamos lá. História surreal. Porém, não podemos ignorar as sucessões de erros. Desde a sogra, marido, morador em situação de rua e a própria mulher. Existe nesta história a destruição de vidas, de sonhos e de uma família.Isto sim é triste.",2022-03-24T15:33:14Z,0,0
80,Vim pra ler os comentários,"O que ele fala no ""piiiiiiiii""?",2022-03-24T15:33:13Z,0,0
81,Danilo Saraiva,Kkkkk..... Vocês estão é humilhando o namorado/esposo?,2022-03-24T15:33:12Z,0,0
82,Egon Salles,"- Da boca, orelha e pescoço descendo ( piii.. ) cor de chocolate. Vai descendo ( 2x piii.. ) que eu nunca vi igual.",2022-03-24T15:33:12Z,0,0
83,Yuri Pereira,Último dos românticos,2022-03-24T15:33:10Z,0,0
84,Maria Vitória,“começamos a brincadeira” KKKKKKKKKKKKKKKK,2022-03-24T15:33:08Z,0,0
85,BT F,"Resumo da história!”Comi,apanhei muito e faria tudo de novo”!!!!!",2022-03-24T15:33:05Z,0,0
86,TG,Tirou o membro pra fora e biquinho chocolate não deu kkkkkkkkkkkkkkkkkk ídolo demais,2022-03-24T15:33:04Z,1,0
87,Richard Green,Se a bonitona ver esse vídeo ela  vai atrás dele de novo.. O cara tem um ótimo papo. Bem articulado. Te cuida personal.,2022-03-24T15:33:03Z,0,0
88,Nel Fernandes,Que história!!! Estou boquiaberta!!! 😳,2022-03-24T15:33:01Z,0,0
89,josefa cleonice Maciel,"NÃO É Planaltina DE GOIÁS, E SIM PLANALTINA DO DF.",2022-03-24T15:32:59Z,0,0
90,ꮐΔвꭱᎥεᏓ,"Esse caso, só pode ser um surto coletivo. Não é possível essa história.",2022-03-24T15:32:59Z,0,0
91,Luciana Barbosa,"Gente !!!! Pai nosso que absurdo , expor essa mulher dessa forma.",2022-03-24T15:32:59Z,0,0
92,Simone Prudencio,Só o corno da entrevista queria vê o mendigo falar parabéns por trazer ele,2022-03-24T15:32:56Z,0,0
93,Mah Mari,"Chocada o relato dele com “o ato” Até foi coerente de preservar ela. Os elogios dele para ela sinceramente! Ele se apaixonou kkkkk o personal essa hora vendo isso,Essa mulher tava louca por ele e a forma que foi ele diz rapaz foi selvagem…",2022-03-24T15:32:52Z,0,0
94,Clovis Costa,quero ouvir sem o piiiiiiiiiii,2022-03-24T15:32:51Z,0,0
95,Fransergio Oliveira,"Muito culto, e dinâmico nas palavras,    
"" vai torá muita mulher por ai""",2022-03-24T15:32:48Z,0,0
96,Roseli Nicolau,Cara simpático não é atoa que amulher deu pra ele,2022-03-24T15:32:46Z,0,0
97,Gean Rodrigues,"Entrevista foda, mas agora ele achar que o marido dela tá errado pelo oq fez é sacanagem, o cara simplesmente viu a esposa dele traindo ele com um morador de rua.",2022-03-24T15:32:45Z,0,0
98,Hudson Maurilio,Kkkkkkkkkkk,2022-03-24T15:32:45Z,0,0
99,Mario Sergio Queiroz,Fala muito melhor do que eu!,2022-03-24T15:32:45Z,0,0
100,Lucas Smith,Uma mão no volante e a outra no carinho kkkkkkkkkkk,2022-03-24T15:32:44Z,0,0
101,Joelder Freitas,Esse cara é mais Loko que a mulher...,2022-03-24T15:32:44Z,0,0
102,Ste Borges,Kkkkkkkk “a coisa mais maravilhosa de linda” gritei na hora,2022-03-24T15:32:43Z,0,0
103,Rogerio Oliveira,"""Eu não estou na rua obrigado."" Ou seja, não se vitimizou em nenhum momento.",2022-03-24T15:32:41Z,0,0
104,JEFF SAY,"Desde quando o Estuprador tem culpa de algo né gente,e a sociedade ajuda em seus diálogos dizendo que a mulher estava nua...hipocrisia do Baralhoooo a conversa desse cara",2022-03-24T15:32:35Z,0,0
105,Marcelo santos,"É incrível a lucidez e o dom do oratório que ele tem, super bem articulado e inteligente ele aproveita o pouco espaço de tempo para agradacer de maneira breve a aqueles que o ajudou",2022-03-24T15:32:35Z,1,0
106,Sabata 2k19,Mendigo apaixonou na mulher kkkk,2022-03-24T15:32:33Z,0,0
107,Hudson Balbino,"Não culpo ele pelo ocorrido. Mas esse cara é o tipo de pessoa que temos que ficar espertos. Assim como esses pastores e políticos que manipulam multidões, ele, mesmo que de uma forma desconexa tem o dom da palavra.",2022-03-24T15:32:33Z,0,0
108,Lenice Araújo,Ele não é certo da cabeça gente...,2022-03-24T15:32:32Z,0,0
109,Pedro,"1 minuto de silêncio...
E vc abestado que está lendo só pensando na 🐸 caridosa...😍💭
🤣🤣🤣",2022-03-24T15:32:32Z,1,0
110,Matheus Magalhães,Ua primo que talarica e fica de graça tá pagando o preço dependendo da situação nem vivo pra conta e história vc estava...,2022-03-24T15:32:30Z,0,0
111,Jailson Ribeiro,"Cadê a parte e que ele falei que em quem ele votou pra Presidente ? Cortaram ? Se sim , por quê?",2022-03-24T15:32:29Z,0,0
112,Rosceli Oliveira,Muito louco  kkkkkkk,2022-03-24T15:32:28Z,0,0
113,Aline Nobre,A oratória dele é melhor que a do Sérgio Moro,2022-03-24T15:32:28Z,0,0
114,Alvaro Junior,País da putaria mesmo kkkkkkk,2022-03-24T15:32:26Z,0,0
115,Thiago Paiva,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk nmrl mto bom,2022-03-24T15:32:25Z,0,0
116,Erik Cunha,"Kkk esse cara falando é engraçado , parece político kkk abre aspas fecha aspas kkk",2022-03-24T15:32:25Z,0,0
117,Leself 41,Meu like foi para o mendigo.,2022-03-24T15:32:25Z,0,0
118,Camilla Lima,Que autopromoção é essa?,2022-03-24T15:32:24Z,0,0
119,Luygo Vaz,"""Pois a carroça na sua frente""
O ditado é ""carroça na frente dos bois"", sera q ele chamou o cara de boi?kk",2022-03-24T15:32:19Z,0,0
120,Nina leoa de Judá,"Um baita de um enrolador , mentiroso ! Espírito de porco ,maldoso. Se aproveitou da vulnerabilidade da moça . Quer pagar de santinho agora e os bobos caem na lábia. Um vadio mentiroso!",2022-03-24T15:32:18Z,0,0
121,Jayro Gomes,Fala melhor do que a Dilma kkk,2022-03-24T15:32:18Z,0,0
122,Ana Claudia Nascimento,"Me pareceu muito coerente...ja ela, crente do 👌 quente...
Nada de impressionante no discurso dele ...",2022-03-24T15:32:18Z,0,0
123,Wagner Lucas,Kkkkkkkkk  eles está apaixonado,2022-03-24T15:32:15Z,0,0
124,Simone Prudencio,Até que enfim o mendigo apareceu ele é o protagonista dessa história,2022-03-24T15:32:15Z,0,0
125,nathany Azevedo,13:50 É oque todo mundo quer saber ✌🏼🌝 @ nathanyazevedooficial haha,2022-03-24T15:32:14Z,0,0
126,maria jose,Que história surreal!,2022-03-24T15:32:13Z,0,0
127,XxRenatusxX,"""Uma mão na direção e a outra no carinho!"" KKKKKKKKKKKKKKKKKKKKKKK",2022-03-24T15:32:09Z,0,0
128,Natalia Galvão,Pra quem quer saber ele começa a explicação em 14:02,2022-03-24T15:32:07Z,0,0
129,Rodrigo,Os comentários dizem muita coisa sobre a sociedade atual...,2022-03-24T15:32:05Z,0,0
130,Munhoz,Certeza que ele é do signo de  escorpião 🦂,2022-03-24T15:32:05Z,0,0
131,Maicon C. Reis,Agora sim 😁 vou poder ouvir ele.,2022-03-24T15:32:04Z,0,0
132,Doce_maria7,Tão bom de prosa quanto o Arthur 🤭,2022-03-24T15:32:03Z,0,0
133,José Medeiros,Falou muito bem o Givaldo.,2022-03-24T15:32:03Z,1,0
134,Sob,"Como o personal disse:

"" A Sandra nunca estava satisfeita. A Sandra sempre queria mais""!",2022-03-24T15:32:02Z,0,1
135,Natal,Mendigo é mais? Kkkk,2022-03-24T15:32:50Z,0,
136,Renan Alves,"Áudio horrível. Um site de notícias poderia fazer melhor. Apesar disso, ato nobre mostrar o outro lado da história.",2022-03-24T15:32:00Z,0,0
137,Cleidiane Pimentel,E se esse cara estiver mentindo? Achei ele nojento,2022-03-24T15:32:00Z,0,0
138,Rafael Figueiredo,"Parece uma piada, pensava o pior e foi pior q eu esperava, o marido corno que foi a vítima,  foi tratado igual lixo por defender a honra da mulher, agora o morador de rua vira deputado federal ou pastor e vai lamber as bolas do mito. Parabens Brasil!!",2022-03-24T15:31:57Z,1,0
139,𝕃𝕆𝔾𝔸ℕ 𝕋𝕌𝕋𝕆ℝ𝕀𝔸𝕀𝕊,"O Givaldo se expressa muito bem, tem um vocabulario culto que nos remete ao século passado, percebe-se bastante persuasão tanbem,  Logo percebe - se que a mulher se encantou por isso, O poder da expressão verbal é algo que a pessoa leva vantagem em várias situações.
Certamente ele abrindo um canal no YouTube falando sobre assuntos diversos terá grande sucesso, tanto pela a repercussão do caso, como pelo seu jeito de se expressar.
Certo dia estava no centro da cidade e um morador de rua veio em minha direção e pediu um trocado e foi bem sincero dizendo que era para beber cachaça, claro que  não dei o dinheiro, em sequência ele me relatou que era professor de história e estava nesta vida porque a esposa dele tinha falecido e ele surtou..
Um cara que é super conhecido e morou na rua por um bom tempo também é o ""Eduardo Marinho"", inclusive aqui no YouTube tem vários vídeos dele, recomendo vocês a pesquisar e ver .",2022-03-24T15:31:54Z,1,0
140,Rosceli Oliveira,Kkkkkkkkkkk,2022-03-24T15:31:47Z,0,0
141,Wellington Rodrigues,"Que história do caralho, que mendingo 171, kkkkkkk!",2022-03-24T15:31:46Z,0,0
142,Etelvina Sena,Os entrevistadores tão paralisado kkkkkkkkkk cara levo entrevista como água  kkkkk caras calados kkkkkkk só ouvindo kkkkkkkkk,2022-03-24T15:31:44Z,0,0
143,Melina Gonçalves,Que bem articulado.... Ganhou pela labia. kkkk,2022-03-24T15:31:44Z,0,0
144,Lucas Silva,"Quem já tirou um tempo pra sentar numa calçada e conversar com um morador de rua, vai saber o quanto essas pessoas tem histórias de vida pra contar, são pessoas inteligentes, são pessoas normais como nós é uma experiência boa parar e ouvir essas pessoas. As vezes a
 humanidade nas pessoas.",2022-03-24T15:31:40Z,0,0
145,Victor Borges,"""E conhecerei a Verdade e a Verdade vos libertará."" 
Joâo 8:32

Nosso Senhor Jesus Cristo está intervindo em nossa nação, contra as forças ocultas e as seitas errantes. Deus levanta pessoas para que o chamado seja cada vez mais tocante em cada alma. Parabéns aos entrevistadores, por deixarem o entrevistado contextualizar suas falas e parabéns ao canal por manter a entrevista inteira na rede. 
Gostei do Gilvaldo, as palavras dele são muito verossímeis. Que Deus abençoe a todos e nunca se esqueçam das palavras de CRISTO:

""Vinde a mim, todos os que estais cansados e oprimidos, e eu vos aliviarei.
Tomai sobre vós o meu jugo, e aprendei de mim, que sou manso e humilde de coração; e encontrareis descanso para as vossas almas.
Porque o meu jugo é suave e o meu fardo é leve.""
Mateus 11:28-30",2022-03-24T15:31:39Z,0,0
146,Crstiane Silva,Então o cara está acostumado a ser corno. O carro branco era outro lance da mulher. O morador de rua pelo jeito sabe tratar uma mulher e ela gostou. E o marido não  consegue satisfaze- la aí  já viu foi procurar na rua.,2022-03-24T15:31:39Z,0,0
147,Leslie A,O cara se expressa bem mais achei muito cansativo ouvi-lo ele não é direto no assunto fica rodeando pra falar!,2022-03-24T15:31:38Z,0,0
148,Wanderson,o cara é simplesmente um poeta da sedução.,2022-03-24T15:31:38Z,1,0
149,Pleno Construtora,Esse caso tá mais famoso que a guerra da Ucrânia 🤔🤔🤔,2022-03-24T15:31:37Z,0,0
150,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:31:36Z,3,0
151,Milly Oliveira,Kkkk tô rindo olha o começo e demais,2022-03-24T15:31:33Z,0,0
152,Ste Borges,Eu acredito no senhor,2022-03-24T15:31:33Z,0,0
153,Vanja Nause,DAR PRÁ SERBUM POLITICO,2022-03-24T15:31:32Z,0,0
154,caveira viva,ÉTICA DE INVEJAR QUALQUER UM 👏👏👏👏,2022-03-24T15:31:31Z,1,0
155,Lucas Sacramento,Manipulador,2022-03-24T15:31:27Z,0,0
156,Maria Miranda,"A dialética  é boa!
Porém percebe se que  ele é  confuso não  sei se de propósito, percebe  se  as contradições  ao relatar  a.cor do carro  que não  apanhou  sai andando,no entanto  no final os relatos  sao bem coerentes  ao para quem sofreu  grandes  traumas. 
Rasaltando  independente  de confusão  mental  é  notório  o tom de deboche e sarcasmo  se achando  no direito de  desafiar o outro.",2022-03-24T15:31:27Z,0,0
157,Josè Edenilson Carvalho,Esperando a análise do metáforando,2022-03-24T15:31:26Z,0,0
158,Silvia Luciana Souza Andrade,Q porra foi essa,2022-03-24T15:31:24Z,1,0
159,Fernanda Justino,Que entrevista chula meu Deus,2022-03-24T15:31:24Z,0,0
160,Mito,"Em - 18:32

""...Ela tem uma voz doce e envolvente, 
Uma pele macia e quente...""

Kkkkkk O baiano é poeta.",2022-03-24T15:31:18Z,0,0
161,hailton andolfato,Comeu bem seu caipora kkkkkkk parabéns,2022-03-24T15:31:14Z,0,0
162,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:31:13Z,2,0
163,Alexander Santos,Meu deus como dão plateia pra isso?!,2022-03-24T15:31:12Z,1,0
164,khell Aha!,Olha o respeito que ele fala da mulher! Ela ficou já de olho no mendigo gentleman,2022-03-24T15:31:10Z,0,0
165,Camila Pizaia,Bem articulado? Vocês estão completamente insanos?,2022-03-24T15:31:10Z,0,0
166,André Araujo,"Olha... abril está aí!...
Se ele se filiar a algum partido político, se elege fácil, ainda em 2022!!",2022-03-24T15:31:09Z,0,0
167,Felipe Silva,Já vi que são dois doidos kkkkkkkkk,2022-03-24T15:31:07Z,0,0
168,Kimbo,"Caraca eu impressionado com esse homem , ele tem uma capacidade de falar e discernimento de vida e da sua situação e da situação do mundo atual.
Impressionante viu",2022-03-24T15:31:05Z,0,0
169,Breno Elen,Vira político agr ! Tenho certeza que vai ter idiota que vota só pq ele tem falácia 😮‍💨😮‍💨🤦🏽‍♂️🤦🏽‍♂️ oh Brasil kkkk,2022-03-24T15:31:05Z,1,0
170,Igor  Felizali Peloso,"Mano o cara é uma lenda. Brabo, comedor de casadas.  Pediu um minuto de silêncio ainda pela guerra. Cara zica.",2022-03-24T15:31:02Z,1,0
171,Anita Santos,Deixando bem claro que eu só votei em vc por causa daquela facada kkkk rindo aqui mas com respeito,2022-03-24T15:31:02Z,0,0
172,Maria Divina Pereira,O que um homem culto desse está na rua meu Deus tão educado tão sábio não é coisa de Deus.,2022-03-24T15:31:01Z,0,0
173,Lucas Smith,Quem pulou o 1 minuto de silêncio da 👍🏼👍🏼,2022-03-24T15:31:01Z,0,0
174,GuiDuarte,O tiozinho Pegador das marombadas....,2022-03-24T15:30:56Z,0,0
175,JARDS 2205,Caraca achei a reportagem,2022-03-24T15:30:56Z,0,0
176,Cecilia Flauzino,"Tô pensando no aperto que foi pros entrevistadores segurarem o riso,gente,o Givaldo tá apaixonado",2022-03-24T15:30:49Z,0,0
177,Bárbara Abreu Silva,"A ""carroça a sua frente"" , chamou o esposo de boi na cara dura kkkkkkkk que figura esse cara 😂",2022-03-24T15:30:48Z,1,2
178,Bárbara Abreu Silva,"@Pedro ele vai ser convidado para ser ator pornô, certezaaaa kkkkk",2022-03-24T15:33:29Z,0,
179,Pedro,"Givaldo, o último dos românticos.",2022-03-24T15:31:24Z,1,
180,Edil Araújo,Que ridícula essa entrevista. Puro sensacionalismo!,2022-03-24T15:30:47Z,0,0
181,F Prospera,Ainda bem que existem câmeras pra todo lado se não quem ia acreditar na versão dele?,2022-03-24T15:30:46Z,0,0
